No,productName,volume,price,pricePerVolume,sum,oatMilk,cornMilk,almodMilk,soyMilk,barleyMaltPowder,abMaltExtract,cowMilk,cowMilkLowFat,cowMilkLactoseFree,yoghurtFatFree,skimMilkPowder,Low Fat formula milk,blackSesame,sugar,lactose,chocolate ,matchaPowder,honey,sucrose,vitamin,canolaOil,soybeanOil,palmOil,coconutOil,butterMilkPowder,Inulin,ginkgobilobaExtract,fruitJuice,calciumCarbonate,fishCollagen,Nuka,organicSeed,sodium,iron,fiber,calcium,carbohydrate,fat,cholesterol ,protein,polydextrose,potassium,vitamin,omega,iodine
1,วีฟาร์ม นมข้าวโพด,250,25.00,0.1000,100.0000,,98.500,,,,,,,,,,,,1.500,,,,,,,,,,,,,,,,,,,,,,,6.000,2.000,,,,7.000,,,
2,กู๊ดเมท นมข้าวโอ๊ต รสงาดำ,180,25.00,0.1389,99.2000,93.700,,,,,,,,,,,,2.000,2.985,,,,,,0.215,0.300,,,,,,,,,,,,3.000,4.000,,30.000,6.000,8.000,,,,,32.000,,
3,กูลิโกะ อัลมอนก์ โคกะ,1000,119.00,0.1190,100.0000,,,94.000,,,,,,,,,,,2.000,,,,,,3.000,,,,,,1.000,,,,,,,11.000,,15.000,,4.000,5.000,,,,,51.000,,
4,เอ็มมิลค์ นมพลาสเจอร์ไรส์,180,20.00,0.1111,100.0000,,,,,,,,,100.000,,,,,,,,,,,,,,,,,,,,,,,,4.000,,,,3.000,11.000,10.000,,,,23.333,,
5,แอนลีน โยเกิร์ต รสผลไม้รวม,180,12.00,0.0667,100.0000,,,,,,,,,,79.635,,,,,,,,,12.000,0.365,,,,,,,,8.000,,,,,4.000,,,30.000,9.000,,,,,,22.667,,
6,Almond Breeze Matcha,946,22.67,0.0240,99.9000,,,95.000,,,,,,,,,,,3.695,,,0.400,0.500,,0.005,,,,,,,,,0.300,,,,0.100,2.000,,25.000,3.000,4.000,,,,,80.000,,
7,แอนมัม มาเทอร์น่า นมผงพร่องมันเนย,180,21.00,0.1167,100.0000,,,,,,,89.000,,,,8.450,,,,,,,,,0.700,0.500,0.150,,,0.700,0.500,,,,,,,1.963,8.333,6.000,,5.583,2.885,,,,,191.010,,
8,ไวตามิล สูตรออริจินัล,300,10.00,0.0333,98.4000,,,,90.900,,,,,,,,,,6.000,,,,,,,,,1.500,,,,,,,,,,3.000,4.000,4.000,,3.000,8.000,1.000,,7.000,,6.000,,
9,ไวตามิล สูตรน้ำตาลน้อย,200,12.33,0.0617,99.8500,,,,94.300,,,,,,,2.000,,,3.000,,,,,,,,,0.550,,,,,,,,,,3.000,4.000,,,3.000,8.000,1.000,,,6.000,6.000,,
10,แลกตาซอย สูตรออริจินัล,500,19.00,0.0380,99.9000,,,,89.200,,,,,,,2.000,,,7.000,,,,,,,,1.700,,,,,,,,,,,5.000,4.000,5.000,,5.000,9.000,1.000,,,,10.000,,
